stock_id,date,BuyAfterSale,Volume,BuyAmount,SellAmount
1236,2016-02-01,,0,0,0
1236,2016-02-02,,0,0,0
1236,2016-02-03,,0,0,0
1236,2016-02-15,,0,0,0
1236,2016-02-16,,0,0,0
1236,2016-02-17,,0,0,0
1236,2016-02-18,,0,0,0
1236,2016-02-19,,0,0,0
1236,2016-02-22,,0,0,0
1236,2016-02-23,,0,0,0
1236,2016-02-24,,0,0,0
1236,2016-02-25,,0,0,0
1236,2016-02-26,,1000,21050,21050
1236,2016-03-01,,4000,85200,84950
1236,2016-03-02,,0,0,0
1236,2016-03-03,,0,0,0
1236,2016-03-04,,0,0,0
1236,2016-03-07,,0,0,0
1236,2016-03-08,,0,0,0
1236,2016-03-09,,0,0,0
1236,2016-03-10,,0,0,0
1236,2016-03-11,,0,0,0
1236,2016-03-14,,0,0,0
1236,2016-03-15,,0,0,0
1236,2016-03-16,,0,0,0
1236,2016-03-17,,0,0,0
1236,2016-03-18,,3000,61950,62700
1236,2016-03-21,,1000,20700,20850
1236,2016-03-22,,1000,20800,20600
1236,2016-03-23,,0,0,0
1236,2016-03-24,,0,0,0
1236,2016-03-25,,0,0,0
1236,2016-03-28,,0,0,0
1236,2016-03-29,,0,0,0
1236,2016-03-30,,0,0,0
1236,2016-03-31,,0,0,0
1236,2016-04-01,,0,0,0
1236,2016-04-06,,1000,20450,20700
1236,2016-04-07,,0,0,0
1236,2016-04-08,,0,0,0
1236,2016-04-11,,0,0,0
1236,2016-04-12,,0,0,0
1236,2016-04-13,,0,0,0
1236,2016-04-14,,0,0,0
1236,2016-04-15,,11000,233600,227100
1236,2016-04-18,Y,0,0,0
1236,2016-04-19,Y,1000,20600,20800
1236,2016-04-20,Y,0,0,0
1236,2016-04-21,Y,0,0,0
1236,2016-04-22,Y,0,0,0
1236,2016-04-25,,2000,41150,41150
1236,2016-04-26,,0,0,0
1236,2016-04-27,,1000,20600,20750
1236,2016-04-28,,0,0,0
1236,2016-04-29,,0,0,0
1236,2016-05-03,,0,0,0
1236,2016-05-04,,0,0,0
1236,2016-05-05,,0,0,0
1236,2016-05-06,,0,0,0
1236,2016-05-09,,0,0,0
1236,2016-05-10,,0,0,0
1236,2016-05-11,,0,0,0
1236,2016-05-12,,1000,20150,20000
1236,2016-05-13,,0,0,0
1236,2016-05-16,,0,0,0
1236,2016-05-17,,1000,19650,19650
1236,2016-05-18,,0,0,0
1236,2016-05-19,,0,0,0
1236,2016-05-20,,0,0,0
1236,2016-05-23,,0,0,0
1236,2016-05-24,,0,0,0
1236,2016-05-25,,0,0,0
1236,2016-05-26,,0,0,0
1236,2016-05-27,,0,0,0
1236,2016-05-30,,0,0,0
1236,2016-05-31,,0,0,0
